new_catalysts,best_predicted_activity,true_activity,Al/M,T,P,t,metal
Cc1cc(C[N+]2=Cc3ccccc3[O][Zr-2]23([Cl])([Cl])[O]c2ccccc2C=[N+]3C)c(C)c(C)c1C,0.841705562036137,1122.621543,9400,60,10,1,40
CC1=[N+](c2ccccc2)[Hf-2]2([Cl])([Cl])([O]CCC=[N+]2c2cccc(F)c2)[O]CC1,0.8415378636185107,1120.02362,6200,60,8,1,72
CCC1=[N+](c2ccccc2)[Zr-2]2([Cl])([Cl])([O]CCC=[N+]2c2ccccc2)[O]CC1,0.841253508921072,1115.632233,9400,60,8,1,40
Cc1c(C)c(C)c(C2(C)CC=[N+](c3ccccc3)[Zr-2]3([Cl])([Cl])([O]CCC=[N+]3c3ccccc3)[O]2)c(C)c1C,0.8410142087046636,1111.949982,9400,60,10,1,40
CC1C=[N+](c2ccccc2)[Zr-2]2([Cl])([Cl])([O]C1)[O]CC(C1CCCCCC1)C=[N+]2c1ccccc1,0.8409598330852075,1111.114969,9400,60,8,1,40
CCc1ccc2c(c1)C=[N+](c1ccccc1)[Hf-2]1([Cl])([Cl])([O]c3ccc(C)cc3C=[N+]1c1ccccc1)[O]2,0.8406334332024886,1106.115808,9400,30,8,1,72
Cc1ccc(-c2cc3c(cc2C)C=[N+](c2ccccc2)[Hf-2]2([Cl])([Cl])([O]c4ccccc4C=[N+]2c2ccccc2)[O]3)c(C)c1,0.8404210476701399,1102.874984,9400,30,10,1,72
Cc1cc(C)c2c(c1)C=[N+](c1ccccc1)[Hf-2]1([Cl])([Cl])([O]2)[O]c2c(C)cc(C)cc2C=[N+]1c1ccc(F)cc1,0.8402078174191498,1099.630822,6200,30,8,1,72
Cc1cc(C)c2c(c1)C=[N+](c1ccccc1)[Hf-2]1([Cl])([Cl])([O]c3ccc(F)cc3C=[N+]1c1ccccc1)[O]2,0.8394978102845739,1088.897151,6200,30,8,1,72
CCc1ccc2c(c1)[O][Hf-2]1([Cl])([Cl])([O]c3cc(C)ccc3C=[N+]1c1ccccc1)[N+](c1ccccc1)=C2,0.8393937088549953,1087.33221,9400,30,8,1,72
CC1=[N+](c2ccccc2)[Hf-2]2([Cl])([Cl])([O]CC1)[O]CC(F)C(C)=[N+]2c1ccccc1,0.8393362402608244,1086.469256,6200,60,10,1,72
CCCCCC1=[N+](c2ccccc2)[Zr-2]2([Cl])([Cl])([O]CCC(C)=[N+]2c2ccccc2)[O]CC1,0.8387852882230306,1078.23079,9400,60,10,1,40
Cc1ccc2c(c1)C=[N+](C)[Zr-2]1([Cl])([Cl])([O]c3ccccc3C=[N+]1Cc1cc(C(C)C)cc(C(C)C)c1)[O]2,0.8384804507508261,1073.699385,9400,30,10,1,40
CC1CC=[N+](c2ccccc2)[Hf-2]2([Cl])([Cl])([O]1)[O]C(C)CC=[N+]2c1ccccc1F,0.8371170831848255,1053.664866,6200,60,10,1,72
Cc1cccc2c1C=[N+](c1ccccc1)[Zr-2]1([Cl])([Cl])([O]c3ccccc3C=[N+]1Cc1ccccc1C(C)(C)C)[O]2,0.8370545408428053,1052.754836,9400,30,8,1,40
CC1=[N+](c2ccccc2)[Hf-2]2([Cl])([Cl])([O]CC1)[O]CCC(CF)=[N+]2c1ccccc1,0.8368601562464306,1049.931432,6200,60,10,1,72
Fc1ccccc1C[N+]1=Cc2ccccc2[O][Hf-2]12([Cl])([Cl])[O]c1ccccc1C=[N+]2c1ccccc1,0.8367049767395227,1047.682912,6200,30,8,1,72
CC(C)c1cccc(C(C)C)c1C1(C)CC=[N+](c2ccccc2)[Zr-2]2([Cl])([Cl])([O]CCC=[N+]2c2ccccc2)[O]1,0.8366754434129678,1047.255526,9400,30,1,1,40
CC(C)c1cccc(C(C)C)c1C1(C)CC=[N+](c2ccccc2)[Hf-2]2([Cl])([Cl])([O]c3ccccc3C=[N+]2c2ccccc2)[O]1,0.8364444264638651,1043.918415,9400,30,8,1,72
CC1=[N+](c2ccccc2)[Hf-2]2([Cl])([Cl])([O]CC1)[O]CCC(Cc1c(F)cccc1F)=[N+]2c1ccccc1,0.8364019485600029,1043.305967,6200,30,8,1,72
CCCCc1ccccc1[N+]1=Cc2ccccc2[O][Hf-2]12([Cl])([Cl])[O]c1ccccc1C=[N+]2c1ccccc1,0.8363566376928276,1042.65307,9400,30,8,1,72
C[N+]1=Cc2ccccc2[O][Hf-2]12([Cl])([Cl])[O]c1cc(F)ccc1C=[N+]2c1ccccc1,0.8363367732976783,1042.366967,6200,60,10,1,72
Cc1cc(C)c(-c2c(C)cc3c(c2C)[O][Zr-2]2([Cl])([Cl])([O]c4c(C)cc(C)cc4C=[N+]2C)[N+](C)=C3)c(C)c1,0.8362504846788695,1041.125079,9400,30,8,1,40
CC1=[N+](c2ccccc2)[Hf-2]2([Cl])([Cl])([O]CC1)[O]C(F)CC(C)=[N+]2c1ccccc1,0.834945338710657,1022.52052,6200,60,10,1,72
Cc1ccc2c(c1F)[O][Hf-2]1([Cl])([Cl])([O]c3c(C)cccc3C=[N+]1c1ccccc1)[N+](c1ccccc1)=C2,0.8342418565315389,1012.630815,6200,30,8,1,72
C[N+]1=Cc2ccccc2[O][Hf-2]12([Cl])([Cl])[O]c1ccccc1C=[N+]2Cc1ccc(F)cc1,0.8342253069336811,1012.399313,6200,60,8,1,72
CC1=[N+](c2ccccc2)[Zr-2]2([Cl])([Cl])([O]CC1)[O]CCC(c1c(C(C)C)cccc1C(C)C)=[N+]2c1ccccc1,0.8342178833933399,1012.295486,9400,30,10,1,40
CCCCC1CC=[N+](c2ccccc2)[Zr-2]2([Cl])([Cl])([O]CCC=[N+]2c2ccccc2)[O]1,0.8341338096317022,1011.120365,9400,60,8,1,40
CCCCC1=[N+](c2ccccc2)[Zr-2]2([Cl])([Cl])([O]CCC=[N+]2c2ccccc2)[O]CC1,0.8339529706925858,1008.597353,9400,60,8,1,40
Cc1cc(C)c2c(c1)C=[N+](c1ccccc1)[Hf-2]1([Cl])([Cl])([O]2)[O]c2c(F)cccc2C=[N+]1c1ccccc1,0.8334919693073701,1002.19404,6200,30,8,1,72
C[N+]1=Cc2c(F)cccc2[O][Hf-2]12([Cl])([Cl])[O]c1ccccc1C=[N+]2c1ccccc1,0.833045761607792,996.0349315,6200,60,10,1,72
C[N+]1=Cc2ccccc2[O][Hf-2]12([Cl])([Cl])[O]c1ccccc1C(c1c(F)c(F)c(F)c(F)c1F)=[N+]2c1ccccc1,0.8330269878799451,995.7766248,6200,60,8,1,72
CC1CC=[N+](c2ccccc2)[Hf-2]2([Cl])([Cl])([O]CCC=[N+]2c2cccc(F)c2)[O]1,0.8328498621047318,993.3428558,6200,60,8,1,72
Cc1cc(C)c2c(c1)C=[N+](c1ccccc1)[Hf-2]1([Cl])([Cl])([O]2)[O]c2c(C)cc(C)cc2C=[N+]1c1cccc(F)c1,0.8328134587289333,992.8433982,6200,30,8,1,72
CCCCc1ccccc1[N+]1=C(C)CC[O][Zr-2]12([Cl])([Cl])[O]CCC=[N+]2c1ccccc1,0.8326841465891198,991.0712538,9400,60,8,1,40
CCCCCC1CC=[N+](c2ccccc2)[Hf-2]2([Cl])([Cl])([O]CCC=[N+]2c2ccccc2)[O]1,0.8325875407735784,989.7493943,9400,30,8,1,72
Cc1ccc2c(c1)C=[N+](c1ccccc1)[Zr-2]1([Cl])([Cl])([O]2)[O]c2ccc(F)cc2C=[N+]1c1ccccc1,0.8325177480105487,988.7955154,9400,60,10,1,40
CC1=[N+](c2cccc(F)c2)[Hf-2]2([Cl])([Cl])([O]CCC=[N+]2c2ccccc2)[O]CC1,0.8324361585260032,987.6815727,6200,60,8,1,72
C[N+]1=Cc2ccccc2[O][Zr-2]12([Cl])([Cl])[O]c1ccccc1C(c1c(F)c(F)c(F)c(F)c1F)=[N+]2c1ccccc1,0.8324104984987685,987.3314953,9400,60,8,1,40
Cc1c(C)c(C)c(C2(C)C=[N+](c3ccccc3)[Zr-2]3([Cl])([Cl])([O]CCC=[N+]3c3ccccc3)[O]C2)c(C)c1C,0.8324064183133068,987.2758412,9400,60,10,1,40
CC1CC=[N+](c2ccccc2)[Hf-2]2([Cl])([Cl])([O]1)[O]C(C)CC=[N+]2c1cccc(F)c1,0.8321811459363673,984.2079656,6200,60,10,1,72
Cc1ccc2c(c1)C=[N+](c1ccccc1)[Hf-2]1([Cl])([Cl])([O]2)[O]c2c(C)cc(C)cc2C=[N+]1c1ccccc1,0.8319518580298545,981.0951938,9400,30,8,1,72
CCCCCc1ccccc1[N+]1=C(C)CC[O][Zr-2]12([Cl])([Cl])[O]CCC(C)=[N+]2c1ccccc1,0.8316387465738222,976.8603436,9400,60,8,1,40
CCCCc1ccc([N+]2=Cc3ccccc3[O][Hf-2]23([Cl])([Cl])[O]c2ccccc2C=[N+]3c2ccccc2)cc1,0.8315302059068599,975.3965956,9400,55,8,1,72
